Sample,Porosity,lPerm,lMode
1,0.26043,3.308479574,2.000217093
2,0.2581,3.681241237,1.97386645
3,0.27417,3.217992192,1.933892036
4,0.28101,3.503125049,1.900967624
5,0.23313,3.277971853,1.898780013
6,0.21959,3.254537678,1.890253305
7,0.25472,3.293573551,1.882353746
8,0.25321,3.27525925,1.86254877
9,0.2128,2.728669038,1.8602781
10,0.2823,3.074084689,1.816042341
11,0.26075,2.933643262,1.804071249
12,0.23431,3.05956564,1.798097932
13,0.3005,3.190331698,1.795462894
14,0.27999,3.237898443,1.793441133
15,0.23883,3.003029471,1.778295991
16,0.2506,3.378397901,1.777136713
17,0.24874,2.837537557,1.773420723
18,0.2519,2.970811611,1.769377326
19,0.15677,1.068352866,1.764624398
20,0.26963,2.780869516,1.737749074
21,0.27869,3.152518643,1.734639839
22,0.3033,3.174059808,1.725503269
23,0.16211,2.656910512,1.724029973
24,0.2382,2.809718658,1.713658516
25,0.2669,3.06069784,1.7084209
26,0.25857,2.702239198,1.692758818
27,0.30702,3.028157826,1.690284703
28,0.28165,2.151872507,1.688330818
29,0.19046,1.845711823,1.68538341
30,0.26869,2.515873844,1.665674781
31,0.2666,2.908991395,1.662190991
32,0.26478,2.782472624,1.656864492
33,0.285,2.954261135,1.650890078
34,0.22574,2.547154316,1.645716939
35,0.25199,2.853698212,1.630732893
36,0.23407,2.955771956,1.621280168
37,0.2546,2.716837723,1.615107987
38,0.2122,2.732637138,1.614264287
39,0.28829,2.94792362,1.612041745
40,0.2413,2.592176757,1.608846822
41,0.21637,2.539581519,1.602494069
42,0.2932,3.006037955,1.60075515
43,0.28621,2.822842282,1.599773939
44,0.28101,2.95568775,1.596487134
45,0.28528,2.909581541,1.582517884
46,0.27877,2.809677598,1.578524605
47,0.2587,2.512158416,1.576916956
48,0.20421,2.493144102,1.574956776
49,0.18262,0.79030628,1.574378564
50,0.22968,2.61246024,1.570893036
51,0.22121,2.297311107,1.539577883
52,0.2694,2.653212514,1.537819095
53,0.2375,2.624282096,1.535040813
54,0.20182,2.162129297,1.534787359
55,0.21314,2.593286067,1.529173603
56,0.2407,2.445604203,1.525044807
